merchant_id,merchant_category_id,subsector_description,latitude,longitude
M_ID_3d8a34035d,755,internet,43.211,-71.505
M_ID_3d8c523592,497,consumer electronics,43.247,-71.575
M_ID_3d8c5c89c7,518,consumer electronics,42.622,-73.753
M_ID_3d8cf575c0,68,consumer electronics,43.2,-71.495
M_ID_3d8dbf9e47,518,consumer electronics,40.394,-79.977
M_ID_3d8e834df7,416,internet,43.211,-71.509
M_ID_3d8f1192af,299,luxury goods,42.651,-73.777
M_ID_3d8f30c4bc,401,luxury goods,42.219,-71.801
M_ID_3d9079445a,278,restaurant/dining,42.255,-71.771
M_ID_3d90840561,734,tobacco,41.653,-73.924
M_ID_3d9098f9c8,813,gas,43.216,-71.534
M_ID_3d90eb6e51,420,beauty & personal care,41.683,-73.956
M_ID_3d92176eaa,108,gas,43.228,-71.519
M_ID_3d94819ab9,63,consumer electronics,41.781,-72.639
M_ID_3d950509d4,19,real estate investments,42.253,-71.824
M_ID_3d95bcd031,419,biotechnology,43.162,-71.516
M_ID_3d9703e7d2,414,retail apparel,41.759,-72.719
M_ID_3d9782d3c4,68,consumer electronics,40.45,-80.01
M_ID_3d988cddfb,683,gas,41.715,-73.907
M_ID_3d99899116,457,luxury goods,41.782,-72.722
M_ID_3d99e348d5,367,carpentry,43.071,-74.21
M_ID_3d9a2ab12b,705,groceries,41.714,-72.631
M_ID_3d9b184c07,518,consumer electronics,42.601,-73.738
M_ID_3d9b24163b,298,insurance,41.8,-72.68
M_ID_3d9b54f4fb,792,real estate services,41.038,-74.952
M_ID_3d9c1cf73c,130,luxury goods,41.786,-72.665
M_ID_3d9dc74c14,222,beauty & personal care,41.781,-72.7
M_ID_3d9dcf6e28,506,advertising services,41.699,-73.894
M_ID_3d9e8f008c,333,insurance,41.704,-73.921
M_ID_3d9efffcf8,414,retail apparel,42.618,-73.719
M_ID_3da10522ff,68,consumer electronics,41.7,-73.944
M_ID_3da228a25e,195,gas,43.2,-71.569
M_ID_3da3329eb2,884,consumer electronics,42.27,-71.798
M_ID_3da383fa3a,278,restaurant/dining,42.656,-73.74
M_ID_3da4201459,289,consumer electronics,42.664,-73.726
M_ID_3da51a1854,683,gas,41.736,-73.965
M_ID_3da6b9ff1b,195,gas,41.804,-72.713
M_ID_3da6fe676a,631,tobacco,41.744,-73.878
M_ID_3da72be6c8,884,consumer electronics,43.206,-71.531
M_ID_3da7301d0c,528,tobacco,41.741,-72.663
M_ID_3da7c5673b,299,luxury goods,39.982,-76.903
M_ID_3da7d0500c,796,insurance,40.441,-80.033
M_ID_3da8be25ea,427,consumer electronics,41.711,-72.681
M_ID_3daabf4302,299,luxury goods,41.72,-72.656
M_ID_3daacfb189,683,gas,41.673,-73.968
M_ID_3dab3fd564,457,luxury goods,40.397,-80.028
M_ID_3dad2e9cf0,690,biotechnology,41.687,-73.92
M_ID_3dad593cf6,130,luxury goods,41.712,-72.631
M_ID_3dad618565,580,internet,40.456,-79.962
M_ID_3dad80fd79,45,hotel,42.274,-71.777
M_ID_3dae508c21,703,retail apparel,43.185,-71.584
M_ID_3dae7d0db0,307,entertainment,42.674,-73.748
M_ID_3dafe9bc52,705,groceries,44.189,-74.603
M_ID_3db021e2d7,278,restaurant/dining,42.636,-73.717
M_ID_3db05cfc33,119,insurance,42.615,-73.811
M_ID_3db0915c26,278,restaurant/dining,42.629,-73.734
M_ID_3db1673368,536,misc entertainment,43.18,-71.509
M_ID_3db29fdc40,248,internet,39.667,-75.111
M_ID_3db3d12db0,130,luxury goods,41.685,-73.946
M_ID_3db45b4c35,434,flights,43.169,-71.582
M_ID_3db4e5d774,171,gas,42.641,-73.762
M_ID_3db70429b9,755,internet,40.435,-80.034
M_ID_3db72698c0,2,health care services,43.22,-71.536
M_ID_3db73235a0,506,advertising services,41.751,-72.713
M_ID_3db9986fed,278,restaurant/dining,41.783,-72.701
M_ID_3dba3ebf71,518,consumer electronics,43.192,-71.567
M_ID_3dbb5ca121,309,beauty & personal care,42.229,-71.791
M_ID_3dbdc74bf4,703,retail apparel,41.68,-73.971
M_ID_3dc27b5b13,278,restaurant/dining,43.155,-71.533
M_ID_3dc2bc8e91,343,internet,40.41,-79.966
M_ID_3dc4d12eca,119,insurance,42.278,-71.801
M_ID_3dc6f1c5f5,755,internet,42.603,-73.768
M_ID_3dc7d574c3,695,gas,42.666,-73.775
M_ID_3dc84689f2,705,groceries,42.283,-71.785
M_ID_3dc9031895,171,gas,42.263,-71.802
M_ID_3dc911923d,401,luxury goods,42.669,-73.749
M_ID_3dc94f9451,457,luxury goods,40.475,-80.031
M_ID_3dc9517a7a,705,groceries,42.666,-73.795
M_ID_3dc9cfaa48,117,news & journalism,42.268,-71.83
M_ID_3dcba26f9d,114,gym,43.245,-71.578
M_ID_3dcbdf0cdd,273,health care services,42.237,-71.763
M_ID_3dcbfd5412,748,retail apparel,43.156,-71.512
M_ID_3dccd8013b,195,gas,43.247,-71.537
M_ID_3dcd4b32e1,195,gas,42.628,-73.809
M_ID_3dcfe0985a,299,luxury goods,45.293,-68.708
M_ID_3dd0564903,417,consumer electronics,46.575,-68.791
M_ID_3dd12a872f,307,entertainment,43.169,-71.566
M_ID_3dd1f35b91,518,consumer electronics,41.781,-72.724
M_ID_3dd2b99709,171,gas,42.247,-71.794
M_ID_3dd2dac73a,278,restaurant/dining,40.425,-79.99
M_ID_3dd394b1c1,87,consumer electronics,40.422,-80.036
M_ID_3dd3a9deea,198,insurance,43.235,-71.512
M_ID_3dd47d3fc2,278,restaurant/dining,42.252,-71.808
M_ID_3dd7a0d268,623,financial services,42.606,-73.749
M_ID_3dd8f13cf9,108,gas,40.468,-80.048
M_ID_3ddc9c5340,401,luxury goods,40.427,-79.961
M_ID_3dde858b06,278,restaurant/dining,41.659,-73.951
M_ID_3ddf8c8707,560,gas,43.199,-71.5
M_ID_3de1edd1b6,87,consumer electronics,42.278,-71.802
M_ID_3de3888239,560,gas,43.183,-71.568
M_ID_3de3d4d551,560,gas,43.174,-71.508
M_ID_3de79167fe,631,tobacco,41.713,-72.67
M_ID_3de909931c,108,gas,42.295,-71.789
M_ID_3de995dbe3,307,entertainment,41.726,-73.889
M_ID_3debbb0009,195,gas,40.424,-79.995
M_ID_3ded2d587a,307,entertainment,41.733,-72.634
M_ID_3dedac1861,705,groceries,40.416,-79.97
M_ID_3dedd59cc5,884,consumer electronics,42.302,-71.827
M_ID_3dee74fb6b,497,retail apparel,40.412,-79.995
M_ID_3deec61902,248,internet,43.194,-71.589
M_ID_3deed047be,87,consumer electronics,42.27,-71.796
M_ID_3df0a7ba6f,703,real estate investments,43.199,-71.495
M_ID_3df0bdceb2,87,consumer electronics,43.218,-71.52
M_ID_3df107265c,671,gym,42.297,-71.825
M_ID_3df133c2ac,68,consumer electronics,41.688,-73.896
M_ID_3df13cb686,278,gym,42.656,-73.729
M_ID_3df1c4c8c7,289,consumer electronics,42.628,-73.807
M_ID_3df27d6497,560,gas,41.746,-72.698
M_ID_3df29dd34c,333,insurance,42.604,-73.753
M_ID_3df2be2eea,401,luxury goods,42.262,-71.816
M_ID_3df36d73ea,518,consumer electronics,40.434,-79.966
M_ID_3df4864c38,319,consumer electronics,43.245,-71.497
M_ID_3df5676760,367,carpentry,42.652,-73.786
M_ID_3df61cb6d7,518,consumer electronics,41.73,-73.911
M_ID_3df648717a,307,entertainment,43.247,-71.565
M_ID_3df65eaadc,343,internet,41.711,-73.879
M_ID_3df6c7b4c0,416,internet,40.408,-80.03
M_ID_3df73b1757,307,entertainment,41.67,-73.974
M_ID_3df790485e,299,luxury goods,41.656,-73.969
M_ID_3df8073ba6,278,restaurant/dining,40.416,-80.049
M_ID_3df811db0a,117,news & journalism,44.651,-74.939
M_ID_3df92d9b23,367,carpentry,41.72,-72.667
M_ID_3dfb06c031,307,entertainment,43.249,-71.55
M_ID_3dfba8f278,80,restaurant/dining,41.678,-73.959
M_ID_3dfcc565e7,80,restaurant/dining,41.8,-72.631
M_ID_3dfdc399ee,834,consumer electronics,41.752,-72.672
M_ID_3dfe5edaf0,705,groceries,41.735,-72.702
M_ID_3dfe6b22b1,273,office supplies,42.599,-73.729
M_ID_3dfebddae0,68,consumer electronics,40.402,-79.988
M_ID_3e01222a8b,195,gas,43.21,-71.59
M_ID_3e027409f0,63,consumer electronics,42.274,-71.786
M_ID_3e02746af5,126,consumer electronics,42.254,-71.758
M_ID_3e042cc86a,278,restaurant/dining,42.647,-73.767
M_ID_3e04f651b4,298,insurance,42.676,-73.725
M_ID_3e05d4f678,87,consumer electronics,43.189,-71.588
M_ID_3e067fa5f8,683,gas,43.207,-71.57
M_ID_3e0854f5fc,307,entertainment,42.305,-71.857
M_ID_3e09579e1e,299,luxury goods,40.404,-79.955
M_ID_3e0a79a175,683,gas,42.214,-71.785
M_ID_3e0b6352f9,796,insurance,41.743,-72.69
M_ID_3e0d40b3a8,422,consumer electronics,41.699,-73.958
M_ID_3e0d9afcd0,195,gas,42.269,-71.817
M_ID_3e0d9e7236,796,insurance,42.695,-73.756
M_ID_3e0e0b1aed,45,hotel,42.304,-71.8
M_ID_3e0f4d800c,278,restaurant/dining,42.641,-73.807
M_ID_3e0fa7f86b,278,restaurant/dining,43.203,-71.539
M_ID_3e1040bee2,437,liquor,41.73,-72.677
M_ID_3e10a389dc,695,gas,42.65,-73.746
M_ID_3e10e5c8dc,400,gym,41.715,-72.721
M_ID_3e131208fb,333,insurance,42.217,-71.802
M_ID_3e136eae59,278,restaurant/dining,40.441,-79.975
M_ID_3e163c5f07,432,consumer electronics,41.685,-73.916
M_ID_3e172d9cb7,63,consumer electronics,40.411,-80.023
M_ID_3e179b031e,360,gas,40.395,-79.981
M_ID_3e17cc1b18,580,internet,41.78,-72.683
M_ID_3e180dc239,705,groceries,42.635,-73.74
M_ID_3e181677f0,705,groceries,42.693,-73.782
M_ID_3e195486c6,360,gas,41.875,-77.058
M_ID_3e1c5285a7,560,gas,44.207,-69.352
M_ID_3e1c72d9ea,278,restaurant/dining,40.476,-79.998
M_ID_3e1cad4b95,289,consumer electronics,41.685,-73.966
M_ID_3e1cccc805,796,insurance,43.238,-71.552
M_ID_3e1cfa1723,518,consumer electronics,40.46,-80.024
M_ID_3e1d632485,703,retail apparel,42.222,-71.762
M_ID_3e1eaadbec,367,carpentry,41.758,-72.687
M_ID_3e1f838517,108,gas,40.438,-80.009
M_ID_3e2092ad73,222,beauty & personal care,41.72,-73.902
M_ID_3e20aac37c,506,advertising services,40.436,-80.026
M_ID_3e20cf12d2,126,consumer electronics,41.739,-72.656
M_ID_3e222e6095,248,internet,43.211,-71.53
M_ID_3e23b9672c,333,insurance,41.695,-73.902
M_ID_3e250a9dba,518,consumer electronics,44.852,-69.134
M_ID_3e2527805f,80,restaurant/dining,42.284,-71.789
M_ID_3e26ab9211,497,gas,42.266,-71.845
M_ID_3e27adf827,80,restaurant/dining,42.646,-73.777
M_ID_3e27f4abec,333,insurance,40.945,-77.999
M_ID_3e2bdec7d7,87,consumer electronics,41.65,-73.939
M_ID_3e2c04597f,206,retail apparel,43.251,-71.575
M_ID_3e2d504e39,307,entertainment,42.235,-71.788
M_ID_3e2da47509,367,carpentry,42.633,-73.721
M_ID_3e2dd6bc0f,87,consumer electronics,42.618,-73.786
M_ID_3e2ee78050,367,carpentry,41.73,-73.971
M_ID_3e2f0a958b,884,consumer electronics,40.412,-79.997
M_ID_3e2f366a3e,683,gas,42.245,-71.801
M_ID_3e2fce7dca,705,groceries,41.68,-73.924
M_ID_3e2fdbd1d9,367,carpentry,40.445,-80.011
M_ID_3e3057e805,80,restaurant/dining,41.728,-72.654
M_ID_3e30b5ae71,225,real estate services,40.449,-79.97
M_ID_3e3312441f,779,consumer electronics,42.61,-73.739
M_ID_3e33250156,357,consumer electronics,40.471,-80.003
M_ID_3e3404e115,343,internet,42.273,-71.787
M_ID_3e34f50492,834,consumer electronics,43.745,-72.603
M_ID_3e3666f909,419,biotechnology,42.626,-73.766
M_ID_3e367bc1a0,705,groceries,41.718,-73.948
M_ID_3e3681fa59,307,entertainment,42.649,-73.773
M_ID_3e368692f3,669,hotel,42.665,-73.746
M_ID_3e37cae291,108,gas,42.672,-73.783
M_ID_3e38e43f20,332,news & journalism,41.667,-73.931
M_ID_3e3951a6a0,299,luxury goods,43.187,-71.495
M_ID_3e3a776330,705,groceries,41.711,-72.72
M_ID_3e3b0215c8,367,carpentry,42.226,-71.784
M_ID_3e3b29285c,367,carpentry,40.426,-80.02
M_ID_3e3b83389e,80,restaurant/dining,43.235,-71.528
M_ID_3e3c8252cb,560,gas,41.71,-73.922
M_ID_3e3ced8dfa,818,semiconductors,41.766,-72.698
M_ID_3e3f74d166,40,health care services,42.599,-73.807
M_ID_3e3f8d62a5,307,entertainment,41.716,-72.694
M_ID_3e4082f262,68,consumer electronics,40.473,-80.035
M_ID_3e422fd412,705,groceries,41.652,-73.881
M_ID_3e42e00de1,278,restaurant/dining,42.665,-73.787
M_ID_3e438a98d6,278,restaurant/dining,40.403,-79.987
M_ID_3e44b9b83e,80,restaurant/dining,41.79,-72.631
M_ID_3e45624430,222,beauty & personal care,41.735,-73.972
M_ID_3e4570d70b,68,consumer electronics,41.801,-72.67
M_ID_3e45b8ab16,842,restaurant/dining,41.662,-73.906
M_ID_3e473caaff,690,biotechnology,42.217,-71.787
M_ID_3e481335bc,690,biotechnology,41.749,-72.696
M_ID_3e494fa25d,68,consumer electronics,42.272,-71.761
M_ID_3e4a2b6f92,360,gas,40.406,-80.023
M_ID_3e4b8c88bb,360,gas,41.718,-72.661
M_ID_3e4f35f4f7,195,gas,43.252,-71.533
M_ID_3e50514be0,507,phone bill,42.665,-73.763
M_ID_3e50fec024,307,entertainment,42.281,-71.793
M_ID_3e51569f4c,705,groceries,43.212,-71.553
M_ID_3e522dac23,80,restaurant/dining,44.048,-70.226
M_ID_3e530fee15,432,consumer electronics,42.267,-71.825
M_ID_3e546af591,506,advertising services,43.174,-71.503
M_ID_3e5494c8ea,683,gas,41.763,-72.665
M_ID_3e54fb64aa,80,restaurant/dining,41.807,-72.66
M_ID_3e5538c590,401,luxury goods,40.416,-79.985
M_ID_3e55483f6b,179,internet,43.236,-71.577
M_ID_3e571b0e86,451,gym,40.465,-80.008
M_ID_3e578731c2,705,groceries,42.638,-73.767
M_ID_3e582d044a,705,groceries,43.209,-71.527
M_ID_3e589c576e,705,groceries,42.36,-79.529
M_ID_3e5a29f320,80,restaurant/dining,41.724,-73.952
M_ID_3e5e204a08,276,consumer electronics,40.44,-80.032
M_ID_3e5eef4aa4,434,flights,42.265,-71.786
M_ID_3e5f618659,333,insurance,43.243,-71.5
M_ID_3e5ff048fe,443,beauty & personal care,41.335,-74.716
M_ID_3e6021e8eb,278,restaurant/dining,40.479,-79.965
M_ID_3e6087d4b8,356,beauty & personal care,40.414,-79.969
M_ID_3e6170467e,298,insurance,40.444,-80.035
M_ID_3e61961d1b,80,restaurant/dining,42.213,-71.799
M_ID_3e6236a515,130,luxury goods,42.615,-73.794
M_ID_3e62adc98c,497,consumer electronics,43.22,-71.562
M_ID_3e63057fb2,360,gas,41.73,-72.68
M_ID_3e630785ef,683,gas,42.306,-71.791
M_ID_3e63a453a7,427,consumer electronics,43.158,-71.576
M_ID_3e6438556b,307,entertainment,41.705,-73.914
M_ID_3e646ad8b6,557,retail apparel,41.733,-72.697
M_ID_3e653fa8b8,560,gas,42.258,-71.8
M_ID_3e6598d991,419,biotechnology,42.663,-73.755
M_ID_3e67358a33,68,consumer electronics,41.728,-73.907
M_ID_3e6794c52a,309,beauty & personal care,43.205,-71.586
M_ID_3e67ba8972,422,consumer electronics,43.178,-71.572
M_ID_3e69450a2e,683,gas,43.157,-71.566
M_ID_3e69bbd65b,278,restaurant/dining,43.157,-71.518
M_ID_3e69d6a77e,225,real estate services,43.207,-71.549
M_ID_3e6a2644f2,130,luxury goods,41.769,-72.725
M_ID_3e6a50a531,705,groceries,40.473,-79.989
M_ID_3e6b6d6325,705,groceries,41.659,-73.925
M_ID_3e6be2256b,457,luxury goods,41.718,-73.934
M_ID_3e6ce9355e,703,retail apparel,43.183,-71.522
M_ID_3e6d175c94,299,luxury goods,40.465,-80.023
M_ID_3e6ed8e980,506,advertising services,41.735,-72.713
M_ID_3e70d77f92,560,gas,42.599,-73.81
M_ID_3e73f500ec,307,entertainment,43.244,-71.551
M_ID_3e74f6a2ae,360,gas,42.295,-71.796
M_ID_3e75dc766b,68,consumer electronics,42.598,-73.752
M_ID_3e76c39215,307,entertainment,41.672,-73.934
M_ID_3e7959dd0c,19,real estate investments,43.187,-71.573
M_ID_3e79f0ad04,457,luxury goods,41.779,-72.717
M_ID_3e7a27cb60,130,luxury goods,40.407,-80.04
M_ID_3e7b9d11bf,309,beauty & personal care,42.692,-73.755
M_ID_3e7ba1cf7b,298,insurance,41.784,-72.671
M_ID_3e7bb56dca,195,gas,41.718,-72.641
M_ID_3e7bef044c,342,health care services,41.76,-72.68
M_ID_3e7f4e41d1,884,consumer electronics,41.798,-72.662
M_ID_3e801a6f9f,307,entertainment,42.687,-73.806
M_ID_3e801b2ad4,309,beauty & personal care,41.658,-73.908
M_ID_3e8065fb87,278,restaurant/dining,43.188,-71.534
M_ID_3e814b7c03,63,consumer electronics,43.208,-71.521
M_ID_3e81f1a1d8,248,internet,42.233,-71.773
M_ID_3e8227b20d,560,gas,42.666,-73.787
M_ID_3e8290ce7c,683,gas,42.307,-71.785
M_ID_3e8369eefc,195,gas,41.649,-73.878
M_ID_3e84c86ac2,367,carpentry,42.973,-73.254
M_ID_3e85a0a203,506,advertising services,42.277,-71.833
M_ID_3e864dfded,68,consumer electronics,42.512,-71.838
M_ID_3e86f021cb,360,gas,42.64,-73.75
M_ID_3e8814ee16,884,consumer electronics,41.737,-73.966
M_ID_3e892767c9,87,consumer electronics,42.307,-71.822
M_ID_3e89b73dfc,705,groceries,42.675,-73.751
M_ID_3e89ba5f74,369,consumer electronics,42.598,-73.751
M_ID_3e8b1bc4dd,695,gas,43.204,-71.535
M_ID_3e8b1e4f11,518,consumer electronics,41.712,-73.877
M_ID_3e8cfc34a9,690,biotechnology,41.721,-73.971
M_ID_3e9153c9db,518,consumer electronics,40.482,-79.959
M_ID_3e92233167,683,gas,42.276,-71.786
M_ID_3e9259ddc3,580,internet,42.226,-71.786
M_ID_3e938cb5cc,531,consumer electronics,41.805,-72.653
M_ID_3e950b63ae,278,restaurant/dining,41.748,-72.698
M_ID_3e951506d4,506,biotechnology,41.687,-73.955
M_ID_3e9875b244,367,carpentry,41.741,-72.716
M_ID_3e99683034,506,advertising services,41.711,-72.686
M_ID_3e998ba67d,560,gas,41.659,-73.93
M_ID_3e9ac3877a,80,restaurant/dining,43.188,-71.576
M_ID_3e9b7bea6f,299,luxury goods,45.082,-70.01
M_ID_3e9bf0fcd8,703,retail apparel,42.651,-73.766
M_ID_3e9dcffeed,774,retail apparel,42.267,-71.791
M_ID_3e9f2aea71,705,groceries,41.744,-73.919
M_ID_3e9f2b9124,367,carpentry,41.731,-72.673
M_ID_3ea0d5ba09,769,flights,41.742,-73.922
M_ID_3ea104cc68,298,insurance,40.387,-79.966
M_ID_3ea10db38d,289,consumer electronics,41.646,-73.908
M_ID_3ea201390f,278,restaurant/dining,43.208,-71.58
M_ID_3ea4c171c0,457,luxury goods,42.608,-73.781
M_ID_3ea688c852,222,biotechnology,42.62,-73.769
M_ID_3ea721ca43,278,restaurant/dining,42.227,-71.771
M_ID_3ea7abd971,755,internet,43.24,-71.536
M_ID_3eab19243c,87,consumer electronics,40.431,-79.972
M_ID_3eac805161,560,gas,44.833,-71.727
M_ID_3eacfac049,367,carpentry,41.697,-73.97
M_ID_3eaed11cc4,580,internet,43.188,-71.531
M_ID_3eaed37db6,705,groceries,40.446,-80.029
M_ID_3eafaa7030,531,consumer electronics,41.702,-73.921
M_ID_3eb02d56dd,367,carpentry,42.67,-73.746
M_ID_3eb32613d2,834,consumer electronics,41.615,-80.189
M_ID_3eb3288321,369,consumer electronics,41.718,-73.929
M_ID_3eb380ceef,357,consumer electronics,41.707,-73.973
M_ID_3eb3ea7295,130,luxury goods,42.619,-73.774
M_ID_3eb41d1ff7,248,internet,41.765,-72.671
M_ID_3eb5220060,171,gas,41.754,-72.686
M_ID_3eb5904a69,299,luxury goods,41.758,-72.694
M_ID_3eb5b49c5b,343,internet,41.734,-73.943
M_ID_3eb7614a0e,273,health care services,42.307,-71.856
M_ID_3eb7c06781,683,gas,42.253,-71.793
M_ID_3eb810c6cd,68,consumer electronics,40.469,-80.039
M_ID_3eb8355bec,87,consumer electronics,41.706,-73.953
M_ID_3eb84fb478,222,beauty & personal care,41.691,-73.92
M_ID_3eb86faba5,755,internet,41.766,-72.713
M_ID_3eb897b67a,63,consumer electronics,43.161,-71.584
M_ID_3eb9a5ca07,367,carpentry,41.723,-73.939
M_ID_3eba2e81f9,68,biotechnology,41.749,-72.692
M_ID_3eba4391f6,309,beauty & personal care,41.695,-73.946
M_ID_3ebd675417,108,gas,41.678,-73.955
M_ID_3ebe9abfcb,498,retail apparel,42.636,-73.773
M_ID_3ebebf0d2d,506,advertising services,41.686,-73.97
M_ID_3ec0758732,108,gas,41.646,-73.93
M_ID_3ec16c3cd3,34,pharmaceuticals,41.686,-73.877
M_ID_3ec191a2a8,130,luxury goods,41.804,-72.631
M_ID_3ec2293c11,108,gas,41.734,-73.951
M_ID_3ec290f71e,422,consumer electronics,42.249,-71.78
M_ID_3ec3e17f85,705,groceries,41.459,-75.035
M_ID_3ec437188a,580,internet,41.513,-77.56
M_ID_3ec5a80094,171,gas,42.65,-73.774
M_ID_3ec622f534,108,gas,41.651,-73.957
M_ID_3ec6eb3184,705,groceries,42.666,-73.763
M_ID_3ec7a33a83,457,luxury goods,42.629,-73.802
M_ID_3ec8774b4d,783,entertainment,42.681,-73.753
M_ID_3ec8b4b67e,755,internet,40.454,-79.956
M_ID_3ec915dae9,206,biotechnology,43.192,-71.555
M_ID_3eca3de207,290,entertainment,42.051,-73.587
M_ID_3ecbea4d62,40,beauty & personal care,42.27,-71.823
M_ID_3ecc6b8b83,108,gas,40.426,-79.97
M_ID_3ecc801ccb,179,internet,42.636,-73.763
M_ID_3ecd573e1c,457,luxury goods,42.686,-73.727
M_ID_3ecdf88cdd,111,real estate investments,42.625,-73.74
M_ID_3ecfbb5366,613,groceries,42.656,-73.799
M_ID_3ed0346cbf,690,biotechnology,42.67,-73.78
M_ID_3ed16ddfce,343,internet,43.178,-71.513
M_ID_3ed2cfabdd,298,insurance,42.689,-73.768
M_ID_3ed41853e5,401,luxury goods,43.155,-71.516
M_ID_3ed4fc42b1,278,restaurant/dining,41.655,-73.92
M_ID_3ed52f4f61,357,consumer electronics,41.788,-72.723
M_ID_3ed711ed1d,179,internet,40.477,-79.991
M_ID_3ed890ad8d,68,consumer electronics,42.303,-71.776
M_ID_3ed999fc89,171,gas,43.179,-71.576
M_ID_3ed9e84603,683,gas,42.361,-80.016
M_ID_3edb966bb0,560,gas,41.653,-73.961
M_ID_3ee00856a3,661,internet,42.234,-71.814
M_ID_3ee04e9c3e,695,gas,42.688,-73.767
M_ID_3ee0d9de43,222,beauty & personal care,41.735,-72.64
M_ID_3ee25cebef,705,groceries,41.703,-73.967
M_ID_3ee57d9fe9,683,gas,43.208,-71.581
M_ID_3ee58c81a7,401,luxury goods,42.693,-73.733
M_ID_3ee5ba775f,367,carpentry,41.763,-72.683
M_ID_3ee65af320,278,restaurant/dining,43.238,-71.497
M_ID_3ee6e1e64c,703,retail apparel,41.734,-72.696
M_ID_3ee75560f6,87,consumer electronics,42.288,-71.848
M_ID_3ee87254a7,705,groceries,42.275,-71.818
M_ID_3ee8e97be9,661,internet,42.628,-73.776
M_ID_3ee9b7b96d,422,consumer electronics,42.218,-71.771
M_ID_3eebb5f34a,206,biotechnology,40.461,-80.039
M_ID_3eec70540d,248,internet,41.678,-73.877
M_ID_3eecc930e2,278,restaurant/dining,42.237,-71.829
M_ID_3eecfaa498,80,restaurant/dining,42.607,-73.788
M_ID_3eed0eb5e7,560,gas,40.39,-79.985
M_ID_3eee466131,705,groceries,41.774,-72.655
M_ID_3eee994817,317,tobacco,41.711,-72.665
M_ID_3eeeb569de,278,restaurant/dining,40.389,-80.042
M_ID_3eef082289,661,internet,41.746,-72.645
M_ID_3eef7d2c62,130,luxury goods,43.244,-71.517
M_ID_3eeff6ef91,889,consumer electronics,41.698,-73.951
M_ID_3ef1dad83a,695,gas,42.303,-71.772
M_ID_3ef1f09e13,840,health care services,45.061,-67.302
M_ID_3ef37f72c2,692,beauty & personal care,39.926,-80.092
M_ID_3ef64bd1f5,518,consumer electronics,42.263,-71.781
M_ID_3ef653b804,80,restaurant/dining,41.742,-73.91
M_ID_3ef6d4d53a,307,entertainment,41.657,-73.899
M_ID_3efa0522c8,457,luxury goods,43.203,-71.514
M_ID_3efa5c7a33,416,internet,41.691,-73.927
M_ID_3efa8e6f1e,278,restaurant/dining,41.779,-72.701
M_ID_3efad32b9d,683,gas,42.275,-71.789
M_ID_3efb97d5f0,360,gas,43.156,-71.521
M_ID_3efc17a4a7,889,consumer electronics,40.47,-79.954
M_ID_3efc3fa064,422,consumer electronics,41.736,-73.955
M_ID_3efce51cd3,717,gym,41.649,-73.967
M_ID_3efd263961,818,semiconductors,41.703,-73.936
M_ID_3efd3d7143,705,groceries,41.798,-72.705
M_ID_3efe07f14f,171,gas,41.731,-73.878
M_ID_3f010ea8fd,80,restaurant/dining,40.412,-79.971
M_ID_3f019651e8,248,internet,43.236,-71.554
M_ID_3f01f1a4e4,534,gym,41.753,-72.711
M_ID_3f02c625f2,307,entertainment,42.231,-71.76
M_ID_3f0347f411,367,carpentry,42.277,-71.799
M_ID_3f054de40f,818,semiconductors,40.404,-79.987
M_ID_3f05b776d3,80,restaurant/dining,41.745,-72.634
M_ID_3f07843d8f,531,consumer electronics,41.783,-70.967
M_ID_3f07cf9e8e,667,beauty & personal care,42.653,-73.729
M_ID_3f08b2148a,80,restaurant/dining,41.789,-72.697
M_ID_3f08b35556,278,restaurant/dining,42.245,-71.832
M_ID_3f0a4b1775,108,gas,43.164,-71.569
M_ID_3f0a89b319,130,luxury goods,43.164,-71.51
M_ID_3f0b34f0ec,367,carpentry,43.228,-71.548
M_ID_3f0becac38,706,health care technology,40.477,-80.036
M_ID_3f0d205d47,834,consumer electronics,38.834,-76.041
M_ID_3f0eb55587,179,internet,43.239,-71.582
M_ID_3f0ec5f86f,360,gas,41.703,-73.937
M_ID_3f10286704,360,gas,42.617,-73.778
M_ID_3f10b21948,705,groceries,41.748,-72.68
M_ID_3f11123a3f,705,groceries,41.69,-73.961
M_ID_3f14875582,427,consumer electronics,41.655,-73.927
M_ID_3f1525c615,560,gas,42.299,-71.85
M_ID_3f15f69a91,705,groceries,42.3,-71.795
M_ID_3f17a55e7a,695,gas,43.213,-71.563
M_ID_3f18344bd9,734,tobacco,40.41,-80.041
M_ID_3f1881da38,195,gas,41.651,-73.886
M_ID_3f19af5e6b,560,gas,41.666,-73.881
M_ID_3f19f4b81f,401,luxury goods,42.629,-73.736
M_ID_3f1bb3534a,80,restaurant/dining,42.283,-71.767
M_ID_3f1c2bc305,422,consumer electronics,42.792,-72.649
M_ID_3f1c32618c,278,restaurant/dining,43.176,-71.495
M_ID_3f1e547d0d,298,insurance,42.219,-71.8
M_ID_3f1e58dfb7,119,insurance,41.733,-72.725
M_ID_3f1e91e96f,401,luxury goods,42.626,-73.789
M_ID_3f1eb00bf1,40,beauty & personal care,40.44,-79.961
M_ID_3f1f1e2e52,278,restaurant/dining,40.478,-79.976
M_ID_3f21415037,248,internet,40.408,-80.019
M_ID_3f227683f0,307,entertainment,42.303,-71.837
M_ID_3f266612ae,705,groceries,43.173,-71.52
